2022-02-03 15:09:48, Dashboard Entwicklung, Migration Fehlersuche
2022-02-03 22:52:25, Dashboard Entwicklung, Migration Trennung Freitext
2022-02-03 23:55:13, Dashboard Entwicklung, Migration Trennung Freitext
2022-02-04 11:11:37, Dashboard Entwicklung, Migration Trennung Freitext
2022-02-04 12:11:57, Besprechung, Meeting
2022-02-04 12:16:34, Konzept, Remote Connection
2022-02-05 22:40:39, Konzept, Remote Connection
2022-02-06 01:24:16, Konzept, Remote Connection
2022-02-07 15:00:46, Besprechung, Meeting
2022-02-07 15:40:00, Dashboard Datenbank, Migration
2022-02-07 17:51:22, Dashboard Datenbank, Migration
2022-02-11 11:41:15, Besprechung, Meeting Remote Connection
2022-02-14 14:44:41, Besprechung, Meeting Remote Connection
2022-02-14 23:25:12, Konzept, Remote Connection
2022-02-18 13:23:53, Besprechung, Meeting Remote Connection
2022-02-19 18:39:20, Dashboard Datenbank, Database Cleanup
2022-02-20 17:29:36, Dashboard Datenbank, Database Cleanup
2022-03-03 17:55:28, Besprechung, Meeting
2022-03-07 15:41:48, Besprechung, Meeting
2022-03-10 16:01:55, Dashboard Datenbank, Migration
2022-03-10 20:18:05, Dashboard Entwicklung, Migration Fehlersuche
2022-03-11 12:10:55, Besprechung, Meeting
2022-03-11 14:53:57, Dashboard Entwicklung, Migration Fehlersuche
2022-03-18 12:13:16, Besprechung, Meeting
2022-04-01 12:40:35, Besprechung, Meeting
2022-04-01 15:21:46, Konzept, Orga
2022-04-03 00:30:24, Dashboard Datenbank, Migration
2022-04-11 15:34:18, Besprechung, Meeting
2022-04-11 16:00:49, Konzept, TimeKeeper
2022-04-11 16:01:19, Konzept, TimeKeeper
2022-04-11 16:01:41, Konzept, TimeKeeper
2022-04-11 16:33:32, Konzept, TimeKeeper
2022-04-11 16:55:18, Konzept, TimeKeeper
2022-04-11 17:00:20, Konzept, Konzept
2022-04-12 13:35:53, Dashboard Datenbank, Migration
2022-04-12 16:06:48, Dashboard Datenbank, Migration
2022-04-12 20:27:35, Dashboard Datenbank, Migration
2022-04-14 17:02:42, Dashboard Datenbank, Migration
2022-04-14 17:40:08, Dashboard Datenbank, Migration
2022-04-14 19:12:02, Dashboard Datenbank, Migration
2022-04-14 20:05:02, Dashboard Datenbank, Migration
2022-05-05 15:06:29, Besprechung, Meeting
2022-05-15 23:51:19, Konzept, Konzept
2022-05-20 14:39:14, Besprechung, Meeting
2022-05-20 18:14:56, Dashboard Datenbank, Migration
2022-05-20 19:22:11, Dashboard Datenbank, Migration
2022-05-20 19:45:18, Dashboard Datenbank, Migration
2022-05-20 23:38:56, Research, research
2022-05-21 12:54:39, GUI, GUI
2022-05-21 14:17:42, GUI, GUI
2022-05-21 16:01:01, GUI, GUI
2022-05-21 22:24:14, GUI, GUI
2022-05-22 01:22:01, GUI, GUI
2022-05-22 11:51:08, GUI, GUI
2022-05-22 17:27:21, GUI, GUI
2022-05-22 18:38:49, GUI, GUI
2022-05-30 16:14:48, Besprechung, Meeting
2022-05-30 17:49:25, Besprechung, Meeting
2022-06-01 10:05:46, GUI, GUI
2022-06-01 10:20:33, GUI, GUI
2022-06-01 10:52:18, Konzept, TimeKeeper
2022-06-01 10:54:35, Konzept, TimeKeeper
2022-06-01 10:55:28, Konzept, TimeKeeper
2022-06-01 10:56:27, Konzept, TimeKeeper
2022-06-27 13:55:57, Besprechung, Meeting
2022-06-27 15:05:08, Besprechung, Meeting
2022-06-30 17:11:13, Konzept, TimeKeeper
2022-07-01 15:10:33, Dashboard Datenbank, Migration
2022-07-01 15:48:38, Besprechung, Meeting
2022-07-01 17:08:57, Dashboard Datenbank, Migration
2022-07-01 17:46:54, Dashboard Datenbank, Migration
2022-07-01 17:53:55, Konzept, TimeKeeper
2022-07-04 20:34:32, Dashboard Entwicklung, Migration Fehlersuche
2022-07-08 22:59:38, Dashboard Entwicklung, Migration Fehlersuche
2022-07-13 21:14:09, Dashboard Datenbank, Migration
2022-07-15 17:54:32, Dashboard Entwicklung, Migration optimization
2022-07-15 18:16:51, Dashboard Entwicklung, Migration optimization
2022-07-15 21:42:59, Dashboard Entwicklung, Migration optimization
2022-07-16 21:17:11, Dashboard Entwicklung, Migration optimization
2022-07-16 21:40:41, Dashboard Entwicklung, Migration optimization
2022-07-17 01:05:54, Dashboard Entwicklung, Migration optimization
2022-07-17 17:06:16, Dashboard Entwicklung, Migration optimization
2022-07-17 17:08:09, Dashboard Datenbank, Migration
2022-07-17 20:39:14, Dashboard Entwicklung, Migration optimization
2022-07-19 15:28:26, Dashboard Entwicklung, Migration Fehlersuche
2022-07-19 19:52:59, Besprechung, Meeting
2022-07-29 16:35:04, Besprechung, Meeting
2022-07-29 17:07:47, Konzept, Orga
2022-07-29 17:50:59, Dashboard Datenbank, Migration
2022-07-29 18:42:28, Dashboard Datenbank, Migration
2022-08-01 14:40:37, Konzept, Orga
2022-08-01 16:35:26, Dashboard Entwicklung, Migration optimization
2022-08-01 20:40:34, Konzept, Orga
2022-08-01 20:42:24, Konzept, Orga
2022-08-01 20:57:20, Konzept, Orga
2022-08-01 21:00:16, Konzept, Orga
2022-08-01 21:02:37, Konzept, Orga
2022-08-01 21:03:36, Konzept, Orga
2022-08-01 21:58:51, Konzept, Orga
2022-08-01 21:58:52, Konzept, Orga
2022-08-01 21:58:56, Konzept, Orga
2022-08-06 20:21:05, Konzept, Orga
2022-08-08 10:27:16, Research, research
2022-08-08 12:03:07, Konzept, Orga
2022-08-08 12:08:07, Konzept, Orga
2022-08-08 12:09:20, Konzept, Orga
2022-08-08 12:12:01, Konzept, Orga
2022-09-05 17:05:29, Dashboard Entwicklung, Migration Fehlersuche
2022-09-06 14:08:08, Dashboard Entwicklung, Migration Fehlersuche
2022-09-06 21:38:18, Besprechung, Meeting
2022-09-08 18:28:55, Dashboard Entwicklung, Migration Fehlersuche
2022-09-11 18:40:08, Dashboard Entwicklung, Migration optimization
2022-09-11 19:46:01, Dashboard Entwicklung, Migration optimization
2022-09-11 21:30:25, Dashboard Entwicklung, Migration optimization
2022-09-12 19:20:47, Dashboard Entwicklung, Migration optimization
2022-09-13 00:21:40, Konzept, Orga
2022-09-13 11:09:58, Dashboard Entwicklung, Migration optimization
2022-09-13 13:22:57, Besprechung, Meeting
2022-09-15 12:16:11, Dashboard Entwicklung, Migration Fehlersuche
2022-09-15 17:51:49, Dashboard Entwicklung, Migration optimization
2022-09-15 19:21:12, Dashboard Entwicklung, Migration optimization
2022-09-15 19:28:04, Dashboard Entwicklung, Migration optimization
2022-09-15 22:01:44, Dashboard Entwicklung, Migration optimization
2022-09-16 02:39:35, Dashboard Entwicklung, Migration optimization
2022-09-16 19:20:54, Dashboard Entwicklung, Migration Fehlersuche
2022-09-22 17:32:49, Dashboard Entwicklung, Migration Fehlersuche
2022-09-22 17:49:24, Besprechung, Meeting
2022-09-25 12:48:31, Besprechung, Meeting
2022-09-25 12:50:57, Besprechung, Meeting
2022-09-28 18:58:10, Dashboard Datenbank, Migration
2022-10-03 22:11:39, Konzept, Konzept
2022-10-06 18:03:17, Besprechung, Meeting
2022-10-06 20:37:41, Dashboard Entwicklung, Migration optimization
2022-10-07 13:40:13, Dashboard Datenbank, Migration
2022-10-07 13:56:13, Besprechung, Meeting
2022-10-07 18:46:10, Besprechung, Meeting
2022-10-07 21:40:29, Dashboard Datenbank, Migration
2022-10-08 01:21:00, Dashboard Datenbank, Migration
2022-10-08 10:38:58, GUI, Neuaufbau
2022-10-08 14:40:47, GUI, Neuaufbau
2022-10-08 21:18:41, GUI, Neuaufbau
2022-10-09 10:29:34, GUI, Neuaufbau
2022-10-09 13:26:23, GUI, Neuaufbau
2022-10-09 18:46:09, GUI, Neuaufbau
2022-10-09 22:55:06, GUI, Neuaufbau
2022-10-09 23:00:59, GUI, Neuaufbau
2022-10-09 23:46:20, GUI, Neuaufbau
2022-10-10 01:21:49, GUI, Neuaufbau
2022-10-10 13:50:12, GUI, Neuaufbau
2022-10-10 17:31:58, GUI, Neuaufbau
2022-10-10 18:49:03, GUI, Neuaufbau
2022-10-10 19:07:25, GUI, Neuaufbau
2022-10-10 19:42:28, GUI, Neuaufbau
2022-10-10 20:57:07, GUI, Neuaufbau
2022-10-10 23:12:45, GUI, Neuaufbau
2022-10-11 01:27:47, GUI, Neuaufbau
2022-10-11 10:48:28, Besprechung, Meeting
2022-10-11 11:33:05, GUI, Neuaufbau
2022-10-11 13:22:03, GUI, Neuaufbau
2022-10-11 15:13:45, GUI, Neuaufbau
2022-10-11 22:39:35, GUI, Neuaufbau
2022-10-12 11:23:31, GUI, Neuaufbau
2022-10-14 14:50:09, Besprechung, Meeting
2022-10-18 16:54:51, Besprechung, Meeting
2022-10-18 19:37:13, GUI, GUI
2022-10-18 19:43:41, GUI, GUI
2022-10-18 19:48:15, GUI, GUI
2022-10-18 19:48:17, GUI, GUI
2022-10-19 17:16:23, Besprechung, Meeting
2022-10-19 18:41:00, Besprechung, Meeting
2022-10-22 09:50:55, Besprechung, Meeting
2022-10-26 17:05:33, Besprechung, Meeting
2022-10-18 16:55:06, Besprechung, Meeting
2022-10-18 18:16:26, Besprechung, Meeting
2022-11-01 20:49:41, GUI, GUI Newsletter
2022-11-01 20:53:08, GUI, GUI Newsletter
2022-11-02 17:00:43, Besprechung, Meeting
2022-11-09 15:23:17, Besprechung, Meeting
2022-11-09 17:05:53, Besprechung, Meeting
2022-11-09 17:07:48, GUI, GUI Newsletter
2022-11-13 15:18:11, Kontaktdaten Datenbank, Database init
2022-11-14 18:04:13, GUI, GUI Newsletter
2022-11-16 16:47:06, GUI, GUI Newsletter
2022-11-16 17:46:06, Besprechung, Meeting
2022-11-21 18:42:12, Dashboard Entwicklung, Migration Fehlersuche
2022-11-21 19:37:49, Dashboard Entwicklung, Migration Fehlersuche
2022-11-21 19:40:43, Dashboard Entwicklung, Migration Fehlersuche
2022-11-21 22:08:47, Dashboard Entwicklung, Migration Fehlersuche
2022-11-23 16:43:15, Besprechung, Meeting
